Paint_ID,Paint_Name,Product_Line,Paint_Type,Match_Source,Match_Company,Match_Paint_ID,Match_Paint_Name,Match_Product_Line,Match_Paint_Type,Match_Hex,Match_RGB,Confidence
AP_AIR_THUNDER_STORM,Thunder Storm,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_TRAITOR_RED,Traitor Red,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_TRUE_COPPER,True Copper,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_TWILIGHT_SKY,Twilight Sky,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_UNDERGROWTH_GREEN,Undergrowth Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_UNFORGIVEN_GREEN,Unforgiven Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_VIOLET_VOLT,Violet Volt,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_VIPER_BROWN,Viper Brown,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_WEAPON_BRONZE,Weapon Bronze,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_LAYER_BRASS_SCORPION,Brass Scorpion,Layer,Layer,#B7885F,"183, 136, 95",High
AP_AIR_WILDLING_FLESH,Wildling Flesh,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_WITCHBANE_PLUM,Witchbane Plum,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_WYRMLING_RED,Wyrmling Red,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_YELLOW_DUNE,Yellow Dune,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_YETI_WHITE,Yeti White,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_ZEPHYR_PINK,Zephyr Pink,Air,Air,No Match Found,,,,,,,,Review
AP_FANATIC_ABYSSAL_BLUE,Abyssal Blue,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_AEGIS_AQUA,Aegis Aqua,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_AFTERGLOW,Afterglow,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_AMULET_AQUA,Amulet Aqua,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_ANCIENT_STONE,Ancient Stone,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_AQUA_ALCHEMY,Aqua Alchemy,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_AUTUMN_SAGE,Autumn Sage,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_BARON_BLUE,Baron Blue,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_BASILISK_RED,Basilisk Red,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_BLOOD_CHALICE,Blood Chalice,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_BOOTSTRAP_BROWN,Bootstrap Brown,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_BRIGHT_SAPPHIRE,Bright Sapphire,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_BRUSH_ON_PRIMER,Brush-On Primer,Fanatic,Auxiliary,No Match Found,,,,,,,,Review
AP_FANATIC_DARK_SKIN_SHADE,Dark Skin Shade,Fanatic,Wash/Shade,No Match Found,,,,,,,,Review
AP_FANATIC_DATA_SYSTEM_GLOW,Data System Glow,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_DEATH_METAL,Death Metal,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_DIVINER_LIGHT,Diviner Light,Fanatic,Acrylic,No Match Found,,,,,,,,Review
