Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,,,,,,,,,GW_Match_Paint_ID,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,GW_RGB_Distance,Match_Confidence,GW_Match_Method
VAL_GAME_COLOR_DARK_FLESH_TONE,Vallejo,Game Color,Game Color,GAME_COLOR,72.044,Dark Flesh Tone,DARK_FLESH_TONE,#4F2B26,79,43,38,"79,43,38",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database; Hex/RGB filled during audit from Direct RedGrimm Vallejo Game name match (redgrimm army-painter.html); matched Vallejo Game Dark Fleshtone.,,,,,,,,,,GW_CONTRAST_GARAGHAK_S_SEWER,Garaghak's Sewer,Contrast,Contrast,#4A2F21,"74,47,33",8.12,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DARK_FLESHTONE,Vallejo,Game Color,Game Color,GAME_COLOR,72.044,Dark Fleshtone,DARK_FLESHTONE,#4F2B26,79,43,38,"79,43,38",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Direct RedGrimm Vallejo Game name match (redgrimm army-painter.html); matched Vallejo Game Dark Fleshtone.,,,,,,,,,,GW_CONTRAST_GARAGHAK_S_SEWER,Garaghak's Sewer,Contrast,Contrast,#4A2F21,"74,47,33",8.12,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DARK_GREEN,Vallejo,Game Color,Game Color,GAME_COLOR,72.028,Dark Green,DARK_GREEN,#083C2A,8,60,42,"8,60,42",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database,,,,,,,,,,GW_CONTRAST_DARK_ANGELS_GREEN,Dark Angels Green,Contrast,Contrast,#103B20,"16,59,32",12.85,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DEAD_FLESH,Vallejo,Game Color,Game Color,GAME_COLOR,72.035,Dead Flesh,DEAD_FLESH,#BCB686,188,182,134,"188,182,134",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Direct RedGrimm Vallejo Game name match (redgrimm army-painter.html); matched Vallejo Game Dead Flesh.,,,,,,,,,,GW_LAYER_USHABTI_BONE,Ushabti Bone,Layer,Layer,#BBBB7F,"187,187,127",8.66,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DEAD_WHITE,Vallejo,Game Color,Game Color,GAME_COLOR,72.001,Dead White,DEAD_WHITE,#FFFFFF,255,255,255,"255,255,255",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database,,,,,,,,,,GW_BASE_CORAX_WHITE,Corax White,Base,Base,#FFFFFF,"255,255,255",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DEEP_MAGENTA,Vallejo,Game Color,Game Color,GAME_COLOR,72.113,Deep Magenta,DEEP_MAGENTA,#4A1B2E,74,27,46,"74,27,46",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf; Catalogo_2026-R02.pdf page 52,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_BASE_BARAK_NAR_BURGUNDY,Barak-Nar Burgundy,Base,Base,#451636,"69,22,54",10.68,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DESERT_YELLOW,Vallejo,Game Color,Game Color,GAME_COLOR,72.063,Desert Yellow,DESERT_YELLOW,#9C8855,156,136,85,"156,136,85",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database,,,,,,,,,,GW_BASE_HOBGROT_HIDE,Hobgrot Hide,Base,Base,#9C8855,"156,136,85",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DIRTY_GREY,Vallejo,Game Color,Game Color,GAME_COLOR,72.145,Dirty Grey,DIRTY_GREY,#7C8286,124,130,134,"124,130,134",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database; Hex/RGB filled during audit from Registry same paint-code reuse (Existing registry completed row); matched Game Color Heavy Grey.,,,,,,,,,,GW_LAYER_CODEX_GREY,Codex Grey,Layer,Layer,#808285,"128,130,133",4.12,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_DWARF_SKIN,Vallejo,Game Color,Game Color,GAME_COLOR,72.041,Dwarf Skin,DWARF_SKIN,#CC7C67,204,124,103,"204,124,103",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Direct RedGrimm Vallejo Game name match (redgrimm army-painter.html); matched Vallejo Game Dwarf Skin.,,,,,,,,,,GW_LAYER_CADIAN_FLESHTONE,Cadian Fleshtone,Layer,Layer,#C77958,"199,121,88",16.09,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_EARTH,Vallejo,Game Color,Game Color,GAME_COLOR,72.062,Earth,EARTH,#6F563D,111,86,61,"111,86,61",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Direct RedGrimm Vallejo Game name match (redgrimm army-painter.html); matched Vallejo Game Earth.,,,,,,,,,,GW_LAYER_GRAVEYARD_EARTH,Graveyard Earth,Layer,Layer,#665238,"102,82,56",11.05,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
