Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch
GW_DRY_RYZA_DUST,Games Workshop,Citadel,Dry,DRY,,Ryza Dust,RYZA_DUST,#EC631A,236,99,26,"236, 99, 26",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_SIGMARITE,Games Workshop,Citadel,Dry,DRY,,Sigmarite,SIGMARITE,#CAAD76,202,173,118,"202, 173, 118",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_SLAANESH_GREY,Games Workshop,Citadel,Dry,DRY,,Slaanesh Grey,SLAANESH_GREY,#DBD5E6,219,213,230,"219, 213, 230",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_THUNDERHAWK_BLUE,Games Workshop,Citadel,Dry,DRY,,Thunderhawk Blue,THUNDERHAWK_BLUE,#509BA9,80,155,169,"80, 155, 169",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_VERMINLORD_HIDE,Games Workshop,Citadel,Dry,DRY,,Verminlord Hide,VERMINLORD_HIDE,#A16954,161,105,84,"161, 105, 84",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_TECHNICAL_ARMAGEDDON_DUNES,Games Workshop,Citadel,Technical,TECHNICAL,,Armageddon Dunes,ARMAGEDDON_DUNES,#FCAF09,252,175,9,"252, 175, 9",Technical,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing GW registry real product row,Preserved from uploaded registry; product line normalized during audit.,
GW_TECHNICAL_ASTROGRANITE_DEBRIS,Games Workshop,Citadel,Technical,TECHNICAL,,Astrogranite Debris,ASTROGRANITE_DEBRIS,#77726E,119,114,110,"119, 114, 110",Technical,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing GW registry real product row,Preserved from uploaded registry; product line normalized during audit.,
GW_TECHNICAL_BLACKFIRE_EARTH,Games Workshop,Citadel,Technical,TECHNICAL,,Blackfire Earth,BLACKFIRE_EARTH,#F8902F,248,144,47,"248, 144, 47",Technical,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing GW registry real product row,Preserved from uploaded registry; product line normalized during audit.,
GW_TECHNICAL_LUSTRIAN_UNDERGROWTH,Games Workshop,Citadel,Technical,TECHNICAL,,Lustrian Undergrowth,LUSTRIAN_UNDERGROWTH,#709811,112,152,17,"112, 152, 17",Technical,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing GW registry real product row,Preserved from uploaded registry; product line normalized during audit.,
GW_TECHNICAL_MOURN_MOUNTIAN_SNOW,Games Workshop,Citadel,Technical,TECHNICAL,,Mourn Mountian Snow,MOURN_MOUNTIAN_SNOW,#E9EAEB,233,234,235,"233, 234, 235",Technical,Discontinued,Comparison Hex Pull,Preserved from uploaded registry; product line normalized during audit. | Duncan Rhodes/Citadel comparison chart direct hex; source spelling Mourn Mountain Snow,#E9EAEB
